category_id,stream_id,xtream_name,logical_name,type,provider_epg_id,target_xmltv_id,status,notes,source_file
608,840279,#### ES| TDT ESPA\u00d1A VIP \u1d34\u1d30 ####,ES| TDT ESPA\u00d1A VIP \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840278,ES: 24H TVE \u1d34\u1d30,ES: 24H TVE \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840277,ES: LA 1 \u1d34\u1d30,ES: LA 1 \u1d34\u1d30,fixed,LA1.es,LA1.es,mapped,,tdt espana.rtf
608,840276,ES: LA 2 \u1d34\u1d30,ES: LA 2 \u1d34\u1d30,fixed,LA2.es,LA2.es,mapped,,tdt espana.rtf
608,840275,ES: ANTENA 3 \u1d34\u1d30,ES: ANTENA 3 \u1d34\u1d30,fixed,Antena3.es,Antena3.es,mapped,,tdt espana.rtf
608,840274,ES: CUATRO \u1d34\u1d30,ES: CUATRO \u1d34\u1d30,fixed,Cuatro.es,Cuatro.es,mapped,,tdt espana.rtf
608,840273,ES: TELECINCO \u1d34\u1d30,ES: TELECINCO \u1d34\u1d30,fixed,Telecinco.es,Telecinco.es,mapped,,tdt espana.rtf
608,840272,ES: LA SEXTA \u1d34\u1d30,ES: LA SEXTA \u1d34\u1d30,fixed,LaSexta.es,LaSexta.es,mapped,,tdt espana.rtf
608,840271,ES: REAL MADRID TV \u1d34\u1d30,ES: REAL MADRID TV \u1d34\u1d30,fixed,RealMadridTV.es,RealMadridTV.es,mapped,,tdt espana.rtf
608,840268,ES: ETB 2 \u1d34\u1d30,ES: ETB 2 \u1d34\u1d30,fixed,ETB2.es,ETB2.es,mapped,,tdt espana.rtf
608,840267,ES: CANAL SUR ANDALUCIA 2 \u1d34\u1d30,ES: CANAL SUR ANDALUCIA 2 \u1d34\u1d30,fixed,CanalAndalucia.es,CanalAndalucia.es,mapped,,tdt espana.rtf
608,840265,ES: LA OTRA \u1d34\u1d30,ES: LA OTRA \u1d34\u1d30,fixed,LaOtra.es,LaOtra.es,mapped,,tdt espana.rtf
608,840264,ES: TRECE TV \u1d34\u1d30,ES: TRECE TV \u1d34\u1d30,fixed,13TV.es,13TV.es,mapped,,tdt espana.rtf
608,2103700,ES: MOTO ADV \u1d34\u1d30,ES: MOTO ADV \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103678,ES: SURF CHANNEL \u1d34\u1d30,ES: SURF CHANNEL \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840262,ES: CMM \u1d34\u1d30,ES: CMM \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840261,ES: NEGOCIOS TV \u1d34\u1d30,ES: NEGOCIOS TV \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840260,ES: DBIKE \u1d34\u1d30,ES: DBIKE \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,1579665,ES: PTV CORDOBA \u1d34\u1d30,ES: PTV CORDOBA \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103715,ES: PTV Sevilla \u1d34\u1d30,ES: PTV Sevilla \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103712,ES: PTV M\u00e1laga \u1d34\u1d30,ES: PTV M\u00e1laga \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,1579668,ES: PTV GRANADA \u1d34\u1d30,ES: PTV GRANADA \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,1579658,ES: 7RM \u1d34\u1d30,ES: 7RM \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103748,ES: ESCAPA TV \u1d34\u1d30,ES: ESCAPA TV \u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840259,#### ES| TDT ESPA\u00d1A VIP SD ####,ES| TDT ESPA\u00d1A VIP,fixed,,,needs-mapping,,tdt espana.rtf
608,840257,ES: LA 1 SD,ES: LA 1,fixed,LA1.es,LA1.es,mapped,,tdt espana.rtf
608,840256,ES: LA 2 SD,ES: LA 2,fixed,LA2.es,LA2.es,mapped,,tdt espana.rtf
608,840255,ES: ANTENA 3 SD,ES: ANTENA 3,fixed,Antena3.es,Antena3.es,mapped,,tdt espana.rtf
608,840254,ES: CUATRO SD,ES: CUATRO,fixed,Cuatro.es,Cuatro.es,mapped,,tdt espana.rtf
608,840253,ES: TELECINCO SD,ES: TELECINCO,fixed,Telecinco.es,Telecinco.es,mapped,,tdt espana.rtf
608,840252,ES: LA SEXTA SD,ES: LA SEXTA,fixed,LaSexta.es,LaSexta.es,mapped,,tdt espana.rtf
608,840251,ES: REAL MADRID TV SD,ES: REAL MADRID TV,fixed,RealMadridTV.es,RealMadridTV.es,mapped,,tdt espana.rtf
608,840250,ES: CANAL SUR ANDALUCIA SD,ES: CANAL SUR ANDALUCIA,fixed,CanalAndalucia.es,CanalAndalucia.es,mapped,,tdt espana.rtf
608,840248,ES: ARAGON TV INT SD,ES: ARAGON TV INT,fixed,,,needs-mapping,,tdt espana.rtf
608,840247,ES: CUBAVISION SD,ES: CUBAVISION,fixed,,,needs-mapping,,tdt espana.rtf
608,840246,ES: LA OTRA SD,ES: LA OTRA,fixed,LaOtra.es,LaOtra.es,mapped,,tdt espana.rtf
608,840245,ES: TRECE TV SD,ES: TRECE TV,fixed,13TV.es,13TV.es,mapped,,tdt espana.rtf
608,840243,ES: CMM SD,ES: CMM,fixed,,,needs-mapping,,tdt espana.rtf
608,840244,ES: TV3 CATALU\u00d1A SD,ES: TV3 CATALU\u00d1A,fixed,TV3Catalunya.es,TV3Catalunya.es,mapped,,tdt espana.rtf
608,840242,ES: DBIKE SD,ES: DBIKE,fixed,,,needs-mapping,,tdt espana.rtf
608,1579659,ES: 7RM SD,ES: 7RM,fixed,,,needs-mapping,,tdt espana.rtf
608,1579669,ES: PTV GRANADA SD,ES: PTV GRANADA,fixed,,,needs-mapping,,tdt espana.rtf
608,1579666,ES: PTV CORDOBA SD,ES: PTV CORDOBA,fixed,,,needs-mapping,,tdt espana.rtf
608,2103716,ES: PTV Sevilla SD,ES: PTV Sevilla,fixed,,,needs-mapping,,tdt espana.rtf
608,2103713,ES: PTV M\u00e1laga SD,ES: PTV M\u00e1laga,fixed,,,needs-mapping,,tdt espana.rtf
608,2103679,ES: SURF CHANNEL SD,ES: SURF CHANNEL,fixed,,,needs-mapping,,tdt espana.rtf
608,2103701,ES: MOTO ADV SD,ES: MOTO ADV,fixed,,,needs-mapping,,tdt espana.rtf
608,2103750,ES: ESCAPA TV SD,ES: ESCAPA TV,fixed,,,needs-mapping,,tdt espana.rtf
608,840239,#### ES| TDT ESPA\u00d1A VIP \u1d41\u1d34\u1d30 ####,ES| TDT ESPA\u00d1A VIP \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840238,ES: LA 1 \u1d41\u1d34\u1d30 3840P,ES: LA 1 \u1d41\u1d34\u1d30 3840P,fixed,LA1.es,LA1.es,mapped,,tdt espana.rtf
608,840237,ES: 24H TVE \u1d41\u1d34\u1d30,ES: 24H TVE \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840236,ES: LA 1 \u1d41\u1d34\u1d30,ES: LA 1 \u1d41\u1d34\u1d30,fixed,LA1.es,LA1.es,mapped,,tdt espana.rtf
608,840235,ES: LA 2 \u1d41\u1d34\u1d30,ES: LA 2 \u1d41\u1d34\u1d30,fixed,LA2.es,LA2.es,mapped,,tdt espana.rtf
608,840231,ES: LA SEXTA \u1d41\u1d34\u1d30,ES: LA SEXTA \u1d41\u1d34\u1d30,fixed,LaSexta.es,LaSexta.es,mapped,,tdt espana.rtf
608,840234,ES: ANTENA 3 \u1d41\u1d34\u1d30,ES: ANTENA 3 \u1d41\u1d34\u1d30,fixed,Antena3.es,Antena3.es,mapped,,tdt espana.rtf
608,840233,ES: CUATRO \u1d41\u1d34\u1d30,ES: CUATRO \u1d41\u1d34\u1d30,fixed,Cuatro.es,Cuatro.es,mapped,,tdt espana.rtf
608,840232,ES: TELECINCO \u1d41\u1d34\u1d30,ES: TELECINCO \u1d41\u1d34\u1d30,fixed,Telecinco.es,Telecinco.es,mapped,,tdt espana.rtf
608,840230,ES: TELE MADRID \u1d41\u1d34\u1d30,ES: TELE MADRID \u1d41\u1d34\u1d30,fixed,TeleMadrid.es,TeleMadrid.es,mapped,,tdt espana.rtf
608,840229,ES: REAL MADRID TV \u1d41\u1d34\u1d30,ES: REAL MADRID TV \u1d41\u1d34\u1d30,fixed,RealMadridTV.es,RealMadridTV.es,mapped,,tdt espana.rtf
608,840227,ES: U-BEAT \u1d41\u1d34\u1d30,ES: U-BEAT \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840226,ES: CANAL SUR \u1d41\u1d34\u1d30,ES: CANAL SUR \u1d41\u1d34\u1d30,fixed,CanalAndalucia.es,CanalAndalucia.es,mapped,,tdt espana.rtf
608,840223,ES: EXTREMADURA SAT \u1d41\u1d34\u1d30,ES: EXTREMADURA SAT \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840222,ES: LA OTRA \u1d41\u1d34\u1d30,ES: LA OTRA \u1d41\u1d34\u1d30,fixed,LaOtra.es,LaOtra.es,mapped,,tdt espana.rtf
608,840221,ES: TRECE TV \u1d41\u1d34\u1d30,ES: TRECE TV \u1d41\u1d34\u1d30,fixed,13TV.es,13TV.es,mapped,,tdt espana.rtf
608,840219,ES: CMM \u1d41\u1d34\u1d30,ES: CMM \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840218,ES: DW EN ESPA\u00d1OL \u1d41\u1d34\u1d30,ES: DW EN ESPA\u00d1OL \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840217,ES: FRANCE 24 ES \u1d41\u1d34\u1d30,ES: FRANCE 24 ES \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840216,ES: EL PAIS TV \u1d41\u1d34\u1d30,ES: EL PAIS TV \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840215,ES: EL CONFEDENCIAL TV \u1d41\u1d34\u1d30,ES: EL CONFEDENCIAL TV \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,1579657,ES: 7RM \u1d41\u1d34\u1d30,ES: 7RM \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,840214,ES: DBIKE \u1d41\u1d34\u1d30,ES: DBIKE \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103699,ES: MOTO ADV \u1d41\u1d34\u1d30,ES: MOTO ADV \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103677,ES: SURF CHANNEL \u1d41\u1d34\u1d30,ES: SURF CHANNEL \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103714,ES: PTV Sevilla \u1d41\u1d34\u1d30,ES: PTV Sevilla \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103711,ES: PTV M\u00e1laga \u1d41\u1d34\u1d30,ES: PTV M\u00e1laga \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,1579667,ES: PTV GRANADA \u1d41\u1d34\u1d30,ES: PTV GRANADA \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,1579664,ES: PTV CORDOBA \u1d41\u1d34\u1d30,ES: PTV CORDOBA \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
608,2103747,ES: ESCAPA TV \u1d41\u1d34\u1d30,ES: ESCAPA TV \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,tdt espana.rtf
1060,840101,#### ES| MOVISTAR PLUS+ VIP \u1d34\u1d30 ####,ES| MOVISTAR PLUS+ VIP \u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840100,ES: MOVISTAR PLUS+ \u1d34\u1d30,ES: MOVISTAR PLUS+ \u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840099,ES: MOVISTAR PLUS+ 2 \u1d34\u1d30,ES: MOVISTAR PLUS+ 2 \u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840097,ES: MOVISTAR DOCUMENTALES \u1d34\u1d30,ES: MOVISTAR DOCUMENTALES \u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840098,ES: MOVISTAR HITS \u1d34\u1d30,ES: MOVISTAR HITS \u1d34\u1d30,fixed,MovistarSeries1.es,MovistarSeries1.es,mapped,,movistarplus.rtf
1060,840095,#### ES| MOVISTAR PLUS+ VIP SD ####,ES| MOVISTAR PLUS+ VIP,fixed,,,needs-mapping,,movistarplus.rtf
1060,840094,ES: MOVISTAR PLUS+ SD,ES: MOVISTAR PLUS+,fixed,,,needs-mapping,,movistarplus.rtf
1060,840093,ES: MOVISTAR PLUS+ 2 SD,ES: MOVISTAR PLUS+ 2,fixed,,,needs-mapping,,movistarplus.rtf
1060,840092,ES: MOVISTAR HITS SD,ES: MOVISTAR HITS,fixed,MovistarSeries1.es,MovistarSeries1.es,mapped,,movistarplus.rtf
1060,840091,ES: MOVISTAR DOCUMENTALES SD,ES: MOVISTAR DOCUMENTALES,fixed,,,needs-mapping,,movistarplus.rtf
1060,1933467,ES: MOVISTAR SQUIRREL TV SD,ES: MOVISTAR SQUIRREL TV,fixed,,,needs-mapping,,movistarplus.rtf
1060,840089,#### ES| MOVISTAR PLUS+ VIP \u1d41\u1d34\u1d30 ####,ES| MOVISTAR PLUS+ VIP \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840088,ES: MOVISTAR PLUS+ \u1d41\u1d34\u1d30,ES: MOVISTAR PLUS+ \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840087,ES: MOVISTAR PLUS+ 2 \u1d41\u1d34\u1d30,ES: MOVISTAR PLUS+ 2 \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
1060,840086,ES: MOVISTAR HITS \u1d41\u1d34\u1d30,ES: MOVISTAR HITS \u1d41\u1d34\u1d30,fixed,MovistarSeries1.es,MovistarSeries1.es,mapped,,movistarplus.rtf
1060,840085,ES: MOVISTAR DOCUMENTALES \u1d41\u1d34\u1d30,ES: MOVISTAR DOCUMENTALES \u1d41\u1d34\u1d30,fixed,,,needs-mapping,,movistarplus.rtf
870,840023,#### M+ LALIGA VIP \u1d34\u1d30\/SD\/\u1d3f\u1d2c\u1d42 ####,M+ LALIGA VIP \u1d34\u1d30\/SD\/\u1d3f\u1d2c\u1d42,fixed,,,needs-mapping,,m+ la liga.rtf
870,840022,ES: MOVISTAR LA LIGA \u1d34\u1d30,ES: MOVISTAR LA LIGA \u1d34\u1d30,fixed,MLaLiga.es,MLaLiga.es,mapped,,m+ la liga.rtf
870,2004481,ES: LALIGA TV HYPERMOTION \u1d34\u1d30,ES: LALIGA TV HYPERMOTION \u1d34\u1d30,fixed,mlaligahypermotion.es,mlaligahypermotion.es,mapped,,m+ la liga.rtf
870,2004480,ES: LALIGA TV HYPERMOTION 2 \u1d34\u1d30,ES: LALIGA TV HYPERMOTION 2 \u1d34\u1d30,fixed,mlaligahypermotion2.es,mlaligahypermotion2.es,mapped,,m+ la liga.rtf
870,2004479,ES: LALIGA TV HYPERMOTION 3 \u1d34\u1d30,ES: LALIGA TV HYPERMOTION 3 \u1d34\u1d30,fixed,mlaligahypermotion3.es,mlaligahypermotion3.es,mapped,,m+ la liga.rtf
870,840018,ES: MOVISTAR LA LIGA SD,ES: MOVISTAR LA LIGA,fixed,MLaLiga.es,MLaLiga.es,mapped,,m+ la liga.rtf
870,840017,ES: MOVISTAR LA LIGA 2 SD (SOLO EVENTOS),ES: MOVISTAR LA LIGA 2,fixed,MLaLiga2.es,MLaLiga2.es,mapped,,m+ la liga.rtf
870,2004469,ES: LALIGA TV HYPERMOTION SD,ES: LALIGA TV HYPERMOTION,fixed,mlaligahypermotion.es,mlaligahypermotion.es,mapped,,m+ la liga.rtf
870,2004468,ES: LALIGA TV HYPERMOTION 2 SD,ES: LALIGA TV HYPERMOTION 2,fixed,mlaligahypermotion2.es,mlaligahypermotion2.es,mapped,,m+ la liga.rtf
870,2004467,ES: LALIGA TV HYPERMOTION 3 SD,ES: LALIGA TV HYPERMOTION 3,fixed,mlaligahypermotion3.es,mlaligahypermotion3.es,mapped,,m+ la liga.rtf
870,840010,ES: MOVISTAR LA LIGA \u02b0\u1d49\u1d5b\u1d9c,ES: MOVISTAR LA LIGA \u02b0\u1d49\u1d5b\u1d9c,fixed,MLaLiga.es,MLaLiga.es,mapped,,m+ la liga.rtf
870,840009,ES: MOVISTAR LA LIGA \u1d3f\u1d2c\u1d42,ES: MOVISTAR LA LIGA \u1d3f\u1d2c\u1d42,fixed,MLaLiga.es,MLaLiga.es,mapped,,m+ la liga.rtf
870,840008,ES: MOVISTAR LA LIGA 2 \u1d3f\u1d2c\u1d42 (SOLO EVENTOS),ES: MOVISTAR LA LIGA 2 \u1d3f\u1d2c\u1d42 (SOLO EVENTOS),fixed,MLaLiga2.es,MLaLiga2.es,mapped,,m+ la liga.rtf
870,840007,ES: M+ LALIGA TV 3 \u1d3f\u1d2c\u1d42,ES: M+ LALIGA TV 3 \u1d3f\u1d2c\u1d42,fixed,,,needs-mapping,,m+ la liga.rtf
870,2004466,ES: LALIGA TV HYPERMOTION \u1d3f\u1d2c\u1d42,ES: LALIGA TV HYPERMOTION \u1d3f\u1d2c\u1d42,fixed,mlaligahypermotion.es,mlaligahypermotion.es,mapped,,m+ la liga.rtf
870,2004465,ES: LALIGA TV HYPERMOTION 2 \u1d3f\u1d2c\u1d42,ES: LALIGA TV HYPERMOTION 2 \u1d3f\u1d2c\u1d42,fixed,mlaligahypermotion2.es,mlaligahypermotion2.es,mapped,,m+ la liga.rtf
870,2004464,ES: LALIGA TV HYPERMOTION 3 \u1d3f\u1d2c\u1d42,ES: LALIGA TV HYPERMOTION 3 \u1d3f\u1d2c\u1d42,fixed,mlaligahypermotion3.es,mlaligahypermotion3.es,mapped,,m+ la liga.rtf
553,1302911,### M. LIGA DE CAMPEONES \u1d34\u1d30 ###,M. LIGA DE CAMPEONES \u1d34\u1d30,fixed,,,needs-mapping,,m+ liga campeones.rtf
553,1302910,ES: M. LIGA DE CAMPEONES 1 \u1d34\u1d30,ES: M. LIGA DE CAMPEONES 1 \u1d34\u1d30,fixed,,,needs-mapping,,m+ liga campeones.rtf
553,1302909,ES: M. LIGA DE CAMPEONES 2 \u1d34\u1d30,ES: M. LIGA DE CAMPEONES 2 \u1d34\u1d30,fixed,,,needs-mapping,,m+ liga campeones.rtf
553,1302908,### M. LIGA DE CAMPEONES \u1d38\u1d3c\u1d42 ###,M. LIGA DE CAMPEONES \u1d38\u1d3c\u1d42,fixed,,,needs-mapping,,m+ liga campeones.rtf
553,1302907,ES: M. LIGA DE CAMPEONES 1 \u1d38\u1d3c\u1d42,ES: M. LIGA DE CAMPEONES 1 \u1d38\u1d3c\u1d42,fixed,,,needs-mapping,,m+ liga campeones.rtf
553,1302906,ES: M. LIGA DE CAMPEONES 2 \u1d38\u1d3c\u1d42,ES: M. LIGA DE CAMPEONES 2 \u1d38\u1d3c\u1d42,fixed,,,needs-mapping,,m+ liga campeones.rtf
553,1302905,### M. LIGA DE CAMPEONES SD ###,M. LIGA DE CAMPEONES,fixed,,,needs-mapping,,m+ liga campeones.rtf
